,Year,City,Age Range,Number in Range
2863,2016,"Chicago, IL",75 Years & Over,134397
2864,2016,"Chicago, IL",45 to 54 Years,329292
2865,2016,"Chicago, IL",35 to 44 Years,380384
2866,2016,"Chicago, IL",62 to 64 Years,77381
2867,2016,"Chicago, IL",65 to 74 Years,184359
2868,2016,"Chicago, IL",55 to 59 Years,156428
2869,2016,"Chicago, IL",Under 5 Years,173753
2870,2016,"Chicago, IL",25 to 34 Years,532349
2871,2015,"Chicago, IL",25 to 34 Years,530744
2872,2015,"Chicago, IL",18 to 24 Years,285617
2873,2015,"Chicago, IL",55 to 59 Years,161966
2874,2015,"Chicago, IL",75 Years & Over,132671
2875,2015,"Chicago, IL",35 to 44 Years,381231
2876,2015,"Chicago, IL",60 & 61 Years,56059
2877,2015,"Chicago, IL",Under 5 Years,175597
2878,2015,"Chicago, IL",5 to 17 Years,407490
2879,2015,"Chicago, IL",45 to 54 Years,326886
2880,2015,"Chicago, IL",62 to 64 Years,78804
2881,2015,"Chicago, IL",65 to 74 Years,183491
2882,2014,"Chicago, IL",62 to 64 Years,75261
2883,2014,"Chicago, IL",5 to 17 Years,414653
2884,2014,"Chicago, IL",Under 5 Years,183340
2885,2014,"Chicago, IL",25 to 34 Years,525381
2886,2014,"Chicago, IL",55 to 59 Years,155546
2887,2014,"Chicago, IL",35 to 44 Years,382127
2888,2014,"Chicago, IL",75 Years & Over,133697
2889,2014,"Chicago, IL",60 & 61 Years,57364
2890,2014,"Chicago, IL",45 to 54 Years,330114
2891,2014,"Chicago, IL",18 to 24 Years,288747
2892,2014,"Chicago, IL",65 to 74 Years,176177
2893,2013,"Chicago, IL",75 Years & Over,129126
2894,2013,"Chicago, IL",65 to 74 Years,162022
2895,2013,"Chicago, IL",18 to 24 Years,290532
2896,2013,"Chicago, IL",62 to 64 Years,75333
2897,2013,"Chicago, IL",35 to 44 Years,382415
2898,2013,"Chicago, IL",25 to 34 Years,530746
2899,2013,"Chicago, IL",60 & 61 Years,57326
2900,2013,"Chicago, IL",45 to 54 Years,340443
2901,2013,"Chicago, IL",5 to 17 Years,418595
2902,2013,"Chicago, IL",55 to 59 Years,152798
2903,2013,"Chicago, IL",Under 5 Years,179453
2904,2018,"Chicago, IL",18 to 24 Years,266279
2905,2018,"Chicago, IL",75 Years & Over,145644
2906,2018,"Chicago, IL",45 to 54 Years,324577
2907,2018,"Chicago, IL",Under 5 Years,168114
2908,2018,"Chicago, IL",65 to 74 Years,204068
2909,2018,"Chicago, IL",35 to 44 Years,373347
2910,2018,"Chicago, IL",55 to 59 Years,154341
2911,2018,"Chicago, IL",5 to 17 Years,380885
2912,2018,"Chicago, IL",62 to 64 Years,85347
2913,2018,"Chicago, IL",25 to 34 Years,540134
2914,2018,"Chicago, IL",60 & 61 Years,63252
2915,2017,"Chicago, IL",5 to 17 Years,391690
2916,2017,"Chicago, IL",75 Years & Over,137389
2917,2017,"Chicago, IL",60 & 61 Years,60155
2918,2017,"Chicago, IL",25 to 34 Years,542190
2919,2017,"Chicago, IL",62 to 64 Years,85566
2920,2017,"Chicago, IL",18 to 24 Years,273133
2921,2017,"Chicago, IL",55 to 59 Years,159607
2922,2017,"Chicago, IL",35 to 44 Years,373090
2923,2017,"Chicago, IL",65 to 74 Years,195149
2924,2017,"Chicago, IL",Under 5 Years,172017
2925,2017,"Chicago, IL",45 to 54 Years,326476
2926,2016,"Chicago, IL",5 to 17 Years,400417
2927,2016,"Chicago, IL",18 to 24 Years,275232
2928,2016,"Chicago, IL",60 & 61 Years,60973
2929,2016,"Chicago, IL",75 Years & Over,134397
2930,2016,"Chicago, IL",45 to 54 Years,329292
2931,2016,"Chicago, IL",35 to 44 Years,380384
2932,2016,"Chicago, IL",62 to 64 Years,77381
2933,2016,"Chicago, IL",65 to 74 Years,184359
2934,2016,"Chicago, IL",55 to 59 Years,156428
2935,2016,"Chicago, IL",Under 5 Years,173753
2936,2016,"Chicago, IL",25 to 34 Years,532349
2937,2015,"Chicago, IL",25 to 34 Years,530744
2938,2015,"Chicago, IL",18 to 24 Years,285617
2939,2015,"Chicago, IL",55 to 59 Years,161966
2940,2015,"Chicago, IL",75 Years & Over,132671
2941,2015,"Chicago, IL",35 to 44 Years,381231
2942,2015,"Chicago, IL",60 & 61 Years,56059
2943,2015,"Chicago, IL",Under 5 Years,175597
2944,2015,"Chicago, IL",5 to 17 Years,407490
2945,2015,"Chicago, IL",45 to 54 Years,326886
2946,2015,"Chicago, IL",62 to 64 Years,78804
2947,2015,"Chicago, IL",65 to 74 Years,183491
2948,2014,"Chicago, IL",62 to 64 Years,75261
2949,2014,"Chicago, IL",5 to 17 Years,414653
2950,2014,"Chicago, IL",Under 5 Years,183340
2951,2014,"Chicago, IL",25 to 34 Years,525381
2952,2014,"Chicago, IL",55 to 59 Years,155546
2953,2014,"Chicago, IL",35 to 44 Years,382127
2954,2014,"Chicago, IL",75 Years & Over,133697
2955,2014,"Chicago, IL",60 & 61 Years,57364
2956,2014,"Chicago, IL",45 to 54 Years,330114
2957,2014,"Chicago, IL",18 to 24 Years,288747
2958,2014,"Chicago, IL",65 to 74 Years,176177
2959,2013,"Chicago, IL",75 Years & Over,129126
2960,2013,"Chicago, IL",65 to 74 Years,162022
2961,2013,"Chicago, IL",18 to 24 Years,290532
2962,2013,"Chicago, IL",62 to 64 Years,75333
2963,2013,"Chicago, IL",35 to 44 Years,382415
2964,2013,"Chicago, IL",25 to 34 Years,530746
2965,2013,"Chicago, IL",60 & 61 Years,57326
2966,2013,"Chicago, IL",45 to 54 Years,340443
2967,2013,"Chicago, IL",5 to 17 Years,418595
2968,2013,"Chicago, IL",55 to 59 Years,152798
2969,2013,"Chicago, IL",Under 5 Years,179453
2970,2018,"Chicago, IL",18 to 24 Years,266279
2971,2018,"Chicago, IL",75 Years & Over,145644
2972,2018,"Chicago, IL",45 to 54 Years,324577
2973,2018,"Chicago, IL",Under 5 Years,168114
2974,2018,"Chicago, IL",65 to 74 Years,204068
2975,2018,"Chicago, IL",35 to 44 Years,373347
2976,2018,"Chicago, IL",55 to 59 Years,154341
2977,2018,"Chicago, IL",5 to 17 Years,380885
2978,2018,"Chicago, IL",62 to 64 Years,85347
2979,2018,"Chicago, IL",25 to 34 Years,540134
2980,2018,"Chicago, IL",60 & 61 Years,63252
2981,2017,"Chicago, IL",5 to 17 Years,391690
2982,2017,"Chicago, IL",75 Years & Over,137389
2983,2017,"Chicago, IL",60 & 61 Years,60155
2984,2017,"Chicago, IL",25 to 34 Years,542190
2985,2017,"Chicago, IL",62 to 64 Years,85566
2986,2017,"Chicago, IL",18 to 24 Years,273133
2987,2017,"Chicago, IL",55 to 59 Years,159607
2988,2017,"Chicago, IL",35 to 44 Years,373090
2989,2017,"Chicago, IL",65 to 74 Years,195149
2990,2017,"Chicago, IL",Under 5 Years,172017
2991,2017,"Chicago, IL",45 to 54 Years,326476
2992,2016,"Chicago, IL",5 to 17 Years,400417
2993,2016,"Chicago, IL",18 to 24 Years,275232
2994,2016,"Chicago, IL",60 & 61 Years,60973
2995,2016,"Chicago, IL",75 Years & Over,134397
2996,2016,"Chicago, IL",45 to 54 Years,329292
2997,2016,"Chicago, IL",35 to 44 Years,380384
2998,2016,"Chicago, IL",62 to 64 Years,77381
2999,2016,"Chicago, IL",65 to 74 Years,184359
3000,2016,"Chicago, IL",55 to 59 Years,156428
3001,2016,"Chicago, IL",Under 5 Years,173753
3002,2016,"Chicago, IL",25 to 34 Years,532349
3003,2015,"Chicago, IL",25 to 34 Years,530744
3004,2015,"Chicago, IL",18 to 24 Years,285617
3005,2015,"Chicago, IL",55 to 59 Years,161966
3006,2015,"Chicago, IL",75 Years & Over,132671
3007,2015,"Chicago, IL",35 to 44 Years,381231
3008,2015,"Chicago, IL",60 & 61 Years,56059
3009,2015,"Chicago, IL",Under 5 Years,175597
3010,2015,"Chicago, IL",5 to 17 Years,407490
3011,2015,"Chicago, IL",45 to 54 Years,326886
3012,2015,"Chicago, IL",62 to 64 Years,78804
3013,2015,"Chicago, IL",65 to 74 Years,183491
3014,2014,"Chicago, IL",62 to 64 Years,75261
3015,2014,"Chicago, IL",5 to 17 Years,414653
3016,2014,"Chicago, IL",Under 5 Years,183340
3017,2014,"Chicago, IL",25 to 34 Years,525381
3018,2014,"Chicago, IL",55 to 59 Years,155546
3019,2014,"Chicago, IL",35 to 44 Years,382127
3020,2014,"Chicago, IL",75 Years & Over,133697
3021,2014,"Chicago, IL",60 & 61 Years,57364
3022,2014,"Chicago, IL",45 to 54 Years,330114
3023,2014,"Chicago, IL",18 to 24 Years,288747
3024,2014,"Chicago, IL",65 to 74 Years,176177
3025,2013,"Chicago, IL",75 Years & Over,129126
3026,2013,"Chicago, IL",65 to 74 Years,162022
3027,2013,"Chicago, IL",18 to 24 Years,290532
3028,2013,"Chicago, IL",62 to 64 Years,75333
3029,2013,"Chicago, IL",35 to 44 Years,382415
3030,2013,"Chicago, IL",25 to 34 Years,530746
3031,2013,"Chicago, IL",60 & 61 Years,57326
3032,2013,"Chicago, IL",45 to 54 Years,340443
3033,2013,"Chicago, IL",5 to 17 Years,418595
3034,2013,"Chicago, IL",55 to 59 Years,152798
3035,2013,"Chicago, IL",Under 5 Years,179453
3036,2018,"Chicago, IL",18 to 24 Years,266279
3037,2018,"Chicago, IL",75 Years & Over,145644
3038,2018,"Chicago, IL",45 to 54 Years,324577
3039,2018,"Chicago, IL",Under 5 Years,168114
3040,2018,"Chicago, IL",65 to 74 Years,204068
3041,2018,"Chicago, IL",35 to 44 Years,373347
3042,2018,"Chicago, IL",55 to 59 Years,154341
3043,2018,"Chicago, IL",5 to 17 Years,380885
3044,2018,"Chicago, IL",62 to 64 Years,85347
3045,2018,"Chicago, IL",25 to 34 Years,540134
3046,2018,"Chicago, IL",60 & 61 Years,63252
3047,2017,"Chicago, IL",5 to 17 Years,391690
3048,2017,"Chicago, IL",75 Years & Over,137389
3049,2017,"Chicago, IL",60 & 61 Years,60155
3050,2017,"Chicago, IL",25 to 34 Years,542190
3051,2017,"Chicago, IL",62 to 64 Years,85566
3052,2017,"Chicago, IL",18 to 24 Years,273133
3053,2017,"Chicago, IL",55 to 59 Years,159607
3054,2017,"Chicago, IL",35 to 44 Years,373090
3055,2017,"Chicago, IL",65 to 74 Years,195149
3056,2017,"Chicago, IL",Under 5 Years,172017
3057,2017,"Chicago, IL",45 to 54 Years,326476
3058,2016,"Chicago, IL",5 to 17 Years,400417
3059,2016,"Chicago, IL",18 to 24 Years,275232
3060,2016,"Chicago, IL",60 & 61 Years,60973
3061,2016,"Chicago, IL",75 Years & Over,134397
3062,2016,"Chicago, IL",45 to 54 Years,329292
3063,2016,"Chicago, IL",35 to 44 Years,380384
3064,2016,"Chicago, IL",62 to 64 Years,77381
3065,2016,"Chicago, IL",65 to 74 Years,184359
3066,2016,"Chicago, IL",55 to 59 Years,156428
3067,2016,"Chicago, IL",Under 5 Years,173753
3068,2016,"Chicago, IL",25 to 34 Years,532349
3069,2015,"Chicago, IL",25 to 34 Years,530744
3070,2015,"Chicago, IL",18 to 24 Years,285617
3071,2015,"Chicago, IL",55 to 59 Years,161966
3072,2015,"Chicago, IL",75 Years & Over,132671
3073,2015,"Chicago, IL",35 to 44 Years,381231
3074,2015,"Chicago, IL",60 & 61 Years,56059
3075,2015,"Chicago, IL",Under 5 Years,175597
3076,2015,"Chicago, IL",5 to 17 Years,407490
3077,2015,"Chicago, IL",45 to 54 Years,326886
3078,2015,"Chicago, IL",62 to 64 Years,78804
3079,2015,"Chicago, IL",65 to 74 Years,183491
3080,2014,"Chicago, IL",62 to 64 Years,75261
3081,2014,"Chicago, IL",5 to 17 Years,414653
3082,2014,"Chicago, IL",Under 5 Years,183340
3083,2014,"Chicago, IL",25 to 34 Years,525381
3084,2014,"Chicago, IL",55 to 59 Years,155546
3085,2014,"Chicago, IL",35 to 44 Years,382127
3086,2014,"Chicago, IL",75 Years & Over,133697
3087,2014,"Chicago, IL",60 & 61 Years,57364
3088,2014,"Chicago, IL",45 to 54 Years,330114
3089,2014,"Chicago, IL",18 to 24 Years,288747
3090,2014,"Chicago, IL",65 to 74 Years,176177
3091,2013,"Chicago, IL",75 Years & Over,129126
3092,2013,"Chicago, IL",65 to 74 Years,162022
3093,2013,"Chicago, IL",18 to 24 Years,290532
3094,2013,"Chicago, IL",62 to 64 Years,75333
3095,2013,"Chicago, IL",35 to 44 Years,382415
3096,2013,"Chicago, IL",25 to 34 Years,530746
3097,2013,"Chicago, IL",60 & 61 Years,57326
3098,2013,"Chicago, IL",45 to 54 Years,340443
3099,2013,"Chicago, IL",5 to 17 Years,418595
3100,2013,"Chicago, IL",55 to 59 Years,152798
3101,2013,"Chicago, IL",Under 5 Years,179453
3102,2018,"Chicago, IL",18 to 24 Years,266279
3103,2018,"Chicago, IL",75 Years & Over,145644
3104,2018,"Chicago, IL",45 to 54 Years,324577
3105,2018,"Chicago, IL",Under 5 Years,168114
3106,2018,"Chicago, IL",65 to 74 Years,204068
3107,2018,"Chicago, IL",35 to 44 Years,373347
3108,2018,"Chicago, IL",55 to 59 Years,154341
3109,2018,"Chicago, IL",5 to 17 Years,380885
3110,2018,"Chicago, IL",62 to 64 Years,85347
3111,2018,"Chicago, IL",25 to 34 Years,540134
3112,2018,"Chicago, IL",60 & 61 Years,63252
3113,2017,"Chicago, IL",5 to 17 Years,391690
3114,2017,"Chicago, IL",75 Years & Over,137389
3115,2017,"Chicago, IL",60 & 61 Years,60155
3116,2017,"Chicago, IL",25 to 34 Years,542190
3117,2017,"Chicago, IL",62 to 64 Years,85566
3118,2017,"Chicago, IL",18 to 24 Years,273133
3119,2017,"Chicago, IL",55 to 59 Years,159607
3120,2017,"Chicago, IL",35 to 44 Years,373090
3121,2017,"Chicago, IL",65 to 74 Years,195149
3122,2017,"Chicago, IL",Under 5 Years,172017
3123,2017,"Chicago, IL",45 to 54 Years,326476
3124,2016,"Chicago, IL",5 to 17 Years,400417
3125,2016,"Chicago, IL",18 to 24 Years,275232
3126,2016,"Chicago, IL",60 & 61 Years,60973
3127,2016,"Chicago, IL",75 Years & Over,134397
3128,2016,"Chicago, IL",45 to 54 Years,329292
3129,2016,"Chicago, IL",35 to 44 Years,380384
3130,2016,"Chicago, IL",62 to 64 Years,77381
3131,2016,"Chicago, IL",65 to 74 Years,184359
3132,2016,"Chicago, IL",55 to 59 Years,156428
3133,2016,"Chicago, IL",Under 5 Years,173753
3134,2016,"Chicago, IL",25 to 34 Years,532349
3135,2015,"Chicago, IL",25 to 34 Years,530744
3136,2015,"Chicago, IL",18 to 24 Years,285617
3137,2015,"Chicago, IL",55 to 59 Years,161966
3138,2015,"Chicago, IL",75 Years & Over,132671
3139,2015,"Chicago, IL",35 to 44 Years,381231
3140,2015,"Chicago, IL",60 & 61 Years,56059
3141,2015,"Chicago, IL",Under 5 Years,175597
3142,2015,"Chicago, IL",5 to 17 Years,407490
3143,2015,"Chicago, IL",45 to 54 Years,326886
3144,2015,"Chicago, IL",62 to 64 Years,78804
3145,2015,"Chicago, IL",65 to 74 Years,183491
3146,2014,"Chicago, IL",62 to 64 Years,75261
3147,2014,"Chicago, IL",5 to 17 Years,414653
3148,2014,"Chicago, IL",Under 5 Years,183340
3149,2014,"Chicago, IL",25 to 34 Years,525381
3150,2014,"Chicago, IL",55 to 59 Years,155546
3151,2014,"Chicago, IL",35 to 44 Years,382127
3152,2014,"Chicago, IL",75 Years & Over,133697
3153,2014,"Chicago, IL",60 & 61 Years,57364
3154,2014,"Chicago, IL",45 to 54 Years,330114
3155,2014,"Chicago, IL",18 to 24 Years,288747
3156,2014,"Chicago, IL",65 to 74 Years,176177
3157,2013,"Chicago, IL",75 Years & Over,129126
3158,2013,"Chicago, IL",65 to 74 Years,162022
3159,2013,"Chicago, IL",18 to 24 Years,290532
3160,2013,"Chicago, IL",62 to 64 Years,75333
3161,2013,"Chicago, IL",35 to 44 Years,382415
3162,2013,"Chicago, IL",25 to 34 Years,530746
3163,2013,"Chicago, IL",60 & 61 Years,57326
3164,2013,"Chicago, IL",45 to 54 Years,340443
3165,2013,"Chicago, IL",5 to 17 Years,418595
3166,2013,"Chicago, IL",55 to 59 Years,152798
3167,2013,"Chicago, IL",Under 5 Years,179453
3168,2018,"Cincinnati, OH",18 to 24 Years,38765
3169,2018,"Cincinnati, OH",75 Years & Over,15966
3170,2018,"Cincinnati, OH",45 to 54 Years,30817
3171,2018,"Cincinnati, OH",Under 5 Years,21240
3172,2018,"Cincinnati, OH",65 to 74 Years,21783
3173,2018,"Cincinnati, OH",35 to 44 Years,33573
3174,2018,"Cincinnati, OH",55 to 59 Years,19932
3175,2018,"Cincinnati, OH",5 to 17 Years,43507
3176,2018,"Cincinnati, OH",62 to 64 Years,11041
3177,2018,"Cincinnati, OH",25 to 34 Years,58295
3178,2018,"Cincinnati, OH",60 & 61 Years,7696
3179,2017,"Cincinnati, OH",5 to 17 Years,41641
3180,2017,"Cincinnati, OH",75 Years & Over,17104
3181,2017,"Cincinnati, OH",60 & 61 Years,6308
3182,2017,"Cincinnati, OH",25 to 34 Years,57700
3183,2017,"Cincinnati, OH",62 to 64 Years,10011
3184,2017,"Cincinnati, OH",18 to 24 Years,39481
3185,2017,"Cincinnati, OH",55 to 59 Years,16439
3186,2017,"Cincinnati, OH",35 to 44 Years,35626
3187,2017,"Cincinnati, OH",65 to 74 Years,22189
3188,2017,"Cincinnati, OH",Under 5 Years,21992
3189,2017,"Cincinnati, OH",45 to 54 Years,32814
3190,2016,"Cincinnati, OH",5 to 17 Years,44120
3191,2016,"Cincinnati, OH",18 to 24 Years,40958
3192,2016,"Cincinnati, OH",60 & 61 Years,8585
3193,2016,"Cincinnati, OH",75 Years & Over,15391
3194,2016,"Cincinnati, OH",45 to 54 Years,30948
3195,2016,"Cincinnati, OH",35 to 44 Years,34840
3196,2016,"Cincinnati, OH",62 to 64 Years,9860
3197,2016,"Cincinnati, OH",65 to 74 Years,20889
3198,2016,"Cincinnati, OH",55 to 59 Years,15973
3199,2016,"Cincinnati, OH",Under 5 Years,22484
3200,2016,"Cincinnati, OH",25 to 34 Years,54754
3201,2015,"Cincinnati, OH",25 to 34 Years,55956
3202,2015,"Cincinnati, OH",18 to 24 Years,39007
3203,2015,"Cincinnati, OH",55 to 59 Years,18866
3204,2015,"Cincinnati, OH",75 Years & Over,17217
3205,2015,"Cincinnati, OH",35 to 44 Years,32111
3206,2015,"Cincinnati, OH",60 & 61 Years,7302
3207,2015,"Cincinnati, OH",Under 5 Years,19904
3208,2015,"Cincinnati, OH",5 to 17 Years,44282
3209,2015,"Cincinnati, OH",45 to 54 Years,33667
3210,2015,"Cincinnati, OH",62 to 64 Years,10305
3211,2015,"Cincinnati, OH",65 to 74 Years,19920
3212,2014,"Cincinnati, OH",62 to 64 Years,9195
3213,2014,"Cincinnati, OH",5 to 17 Years,40594
3214,2014,"Cincinnati, OH",Under 5 Years,21683
3215,2014,"Cincinnati, OH",25 to 34 Years,54247
3216,2014,"Cincinnati, OH",55 to 59 Years,20056
3217,2014,"Cincinnati, OH",35 to 44 Years,35403
3218,2014,"Cincinnati, OH",75 Years & Over,16169
3219,2014,"Cincinnati, OH",60 & 61 Years,8022
3220,2014,"Cincinnati, OH",45 to 54 Years,33767
3221,2014,"Cincinnati, OH",18 to 24 Years,40323
3222,2014,"Cincinnati, OH",65 to 74 Years,18703
3223,2013,"Cincinnati, OH",75 Years & Over,14415
3224,2013,"Cincinnati, OH",65 to 74 Years,19138
3225,2013,"Cincinnati, OH",18 to 24 Years,41391
3226,2013,"Cincinnati, OH",62 to 64 Years,8092
3227,2013,"Cincinnati, OH",35 to 44 Years,33541
3228,2013,"Cincinnati, OH",25 to 34 Years,53319
3229,2013,"Cincinnati, OH",60 & 61 Years,7228
3230,2013,"Cincinnati, OH",45 to 54 Years,36989
3231,2013,"Cincinnati, OH",5 to 17 Years,42575
3232,2013,"Cincinnati, OH",55 to 59 Years,19080
3233,2013,"Cincinnati, OH",Under 5 Years,21730
3234,2018,"Cincinnati, OH",18 to 24 Years,38765
3235,2018,"Cincinnati, OH",75 Years & Over,15966
3236,2018,"Cincinnati, OH",45 to 54 Years,30817
3237,2018,"Cincinnati, OH",Under 5 Years,21240
3238,2018,"Cincinnati, OH",65 to 74 Years,21783
3239,2018,"Cincinnati, OH",35 to 44 Years,33573
3240,2018,"Cincinnati, OH",55 to 59 Years,19932
3241,2018,"Cincinnati, OH",5 to 17 Years,43507
3242,2018,"Cincinnati, OH",62 to 64 Years,11041
3243,2018,"Cincinnati, OH",25 to 34 Years,58295
3244,2018,"Cincinnati, OH",60 & 61 Years,7696
3245,2017,"Cincinnati, OH",5 to 17 Years,41641
3246,2017,"Cincinnati, OH",75 Years & Over,17104
3247,2017,"Cincinnati, OH",60 & 61 Years,6308
3248,2017,"Cincinnati, OH",25 to 34 Years,57700
3249,2017,"Cincinnati, OH",62 to 64 Years,10011
3250,2017,"Cincinnati, OH",18 to 24 Years,39481
3251,2017,"Cincinnati, OH",55 to 59 Years,16439
3252,2017,"Cincinnati, OH",35 to 44 Years,35626
3253,2017,"Cincinnati, OH",65 to 74 Years,22189
3254,2017,"Cincinnati, OH",Under 5 Years,21992
3255,2017,"Cincinnati, OH",45 to 54 Years,32814
3256,2016,"Cincinnati, OH",5 to 17 Years,44120
3257,2016,"Cincinnati, OH",18 to 24 Years,40958
3258,2016,"Cincinnati, OH",60 & 61 Years,8585
3259,2016,"Cincinnati, OH",75 Years & Over,15391
3260,2016,"Cincinnati, OH",45 to 54 Years,30948
3261,2016,"Cincinnati, OH",35 to 44 Years,34840
3262,2016,"Cincinnati, OH",62 to 64 Years,9860
3263,2016,"Cincinnati, OH",65 to 74 Years,20889
3264,2016,"Cincinnati, OH",55 to 59 Years,15973
3265,2016,"Cincinnati, OH",Under 5 Years,22484
3266,2016,"Cincinnati, OH",25 to 34 Years,54754
3267,2015,"Cincinnati, OH",25 to 34 Years,55956
3268,2015,"Cincinnati, OH",18 to 24 Years,39007
3269,2015,"Cincinnati, OH",55 to 59 Years,18866
3270,2015,"Cincinnati, OH",75 Years & Over,17217
3271,2015,"Cincinnati, OH",35 to 44 Years,32111
3272,2015,"Cincinnati, OH",60 & 61 Years,7302
3273,2015,"Cincinnati, OH",Under 5 Years,19904
3274,2015,"Cincinnati, OH",5 to 17 Years,44282
3275,2015,"Cincinnati, OH",45 to 54 Years,33667
3276,2015,"Cincinnati, OH",62 to 64 Years,10305
3277,2015,"Cincinnati, OH",65 to 74 Years,19920
3278,2014,"Cincinnati, OH",62 to 64 Years,9195
3279,2014,"Cincinnati, OH",5 to 17 Years,40594
3280,2014,"Cincinnati, OH",Under 5 Years,21683
3281,2014,"Cincinnati, OH",25 to 34 Years,54247
3282,2014,"Cincinnati, OH",55 to 59 Years,20056
3283,2014,"Cincinnati, OH",35 to 44 Years,35403
3284,2014,"Cincinnati, OH",75 Years & Over,16169
3285,2014,"Cincinnati, OH",60 & 61 Years,8022
3286,2014,"Cincinnati, OH",45 to 54 Years,33767
3287,2014,"Cincinnati, OH",18 to 24 Years,40323
3288,2014,"Cincinnati, OH",65 to 74 Years,18703
3289,2013,"Cincinnati, OH",75 Years & Over,14415
3290,2013,"Cincinnati, OH",65 to 74 Years,19138
3291,2013,"Cincinnati, OH",18 to 24 Years,41391
3292,2013,"Cincinnati, OH",62 to 64 Years,8092
3293,2013,"Cincinnati, OH",35 to 44 Years,33541
3294,2013,"Cincinnati, OH",25 to 34 Years,53319
3295,2013,"Cincinnati, OH",60 & 61 Years,7228
3296,2013,"Cincinnati, OH",45 to 54 Years,36989
3297,2013,"Cincinnati, OH",5 to 17 Years,42575
3298,2013,"Cincinnati, OH",55 to 59 Years,19080
3299,2013,"Cincinnati, OH",Under 5 Years,21730
3300,2018,"Cincinnati, OH",18 to 24 Years,38765
3301,2018,"Cincinnati, OH",75 Years & Over,15966
3302,2018,"Cincinnati, OH",45 to 54 Years,30817
3303,2018,"Cincinnati, OH",Under 5 Years,21240
3304,2018,"Cincinnati, OH",65 to 74 Years,21783
3305,2018,"Cincinnati, OH",35 to 44 Years,33573
3306,2018,"Cincinnati, OH",55 to 59 Years,19932
3307,2018,"Cincinnati, OH",5 to 17 Years,43507
3308,2018,"Cincinnati, OH",62 to 64 Years,11041
3309,2018,"Cincinnati, OH",25 to 34 Years,58295
3310,2018,"Cincinnati, OH",60 & 61 Years,7696
3311,2017,"Cincinnati, OH",5 to 17 Years,41641
3312,2017,"Cincinnati, OH",75 Years & Over,17104
3313,2017,"Cincinnati, OH",60 & 61 Years,6308
3314,2017,"Cincinnati, OH",25 to 34 Years,57700
3315,2017,"Cincinnati, OH",62 to 64 Years,10011
3316,2017,"Cincinnati, OH",18 to 24 Years,39481
3317,2017,"Cincinnati, OH",55 to 59 Years,16439
3318,2017,"Cincinnati, OH",35 to 44 Years,35626
3319,2017,"Cincinnati, OH",65 to 74 Years,22189
3320,2017,"Cincinnati, OH",Under 5 Years,21992
3321,2017,"Cincinnati, OH",45 to 54 Years,32814
3322,2016,"Cincinnati, OH",5 to 17 Years,44120
3323,2016,"Cincinnati, OH",18 to 24 Years,40958
3324,2016,"Cincinnati, OH",60 & 61 Years,8585
3325,2016,"Cincinnati, OH",75 Years & Over,15391
3326,2016,"Cincinnati, OH",45 to 54 Years,30948
3327,2016,"Cincinnati, OH",35 to 44 Years,34840
3328,2016,"Cincinnati, OH",62 to 64 Years,9860
3329,2016,"Cincinnati, OH",65 to 74 Years,20889
3330,2016,"Cincinnati, OH",55 to 59 Years,15973
3331,2016,"Cincinnati, OH",Under 5 Years,22484
3332,2016,"Cincinnati, OH",25 to 34 Years,54754
3333,2015,"Cincinnati, OH",25 to 34 Years,55956
3334,2015,"Cincinnati, OH",18 to 24 Years,39007
3335,2015,"Cincinnati, OH",55 to 59 Years,18866
3336,2015,"Cincinnati, OH",75 Years & Over,17217
3337,2015,"Cincinnati, OH",35 to 44 Years,32111
3338,2015,"Cincinnati, OH",60 & 61 Years,7302
3339,2015,"Cincinnati, OH",Under 5 Years,19904
3340,2015,"Cincinnati, OH",5 to 17 Years,44282
3341,2015,"Cincinnati, OH",45 to 54 Years,33667
3342,2015,"Cincinnati, OH",62 to 64 Years,10305
3343,2015,"Cincinnati, OH",65 to 74 Years,19920
3344,2014,"Cincinnati, OH",62 to 64 Years,9195
3345,2014,"Cincinnati, OH",5 to 17 Years,40594
3346,2014,"Cincinnati, OH",Under 5 Years,21683
3347,2014,"Cincinnati, OH",25 to 34 Years,54247
3348,2014,"Cincinnati, OH",55 to 59 Years,20056
3349,2014,"Cincinnati, OH",35 to 44 Years,35403
3350,2014,"Cincinnati, OH",75 Years & Over,16169
3351,2014,"Cincinnati, OH",60 & 61 Years,8022
3352,2014,"Cincinnati, OH",45 to 54 Years,33767
3353,2014,"Cincinnati, OH",18 to 24 Years,40323
3354,2014,"Cincinnati, OH",65 to 74 Years,18703
3355,2013,"Cincinnati, OH",75 Years & Over,14415
3356,2013,"Cincinnati, OH",65 to 74 Years,19138
3357,2013,"Cincinnati, OH",18 to 24 Years,41391
3358,2013,"Cincinnati, OH",62 to 64 Years,8092
3359,2013,"Cincinnati, OH",35 to 44 Years,33541
3360,2013,"Cincinnati, OH",25 to 34 Years,53319
3361,2013,"Cincinnati, OH",60 & 61 Years,7228
3362,2013,"Cincinnati, OH",45 to 54 Years,36989
3363,2013,"Cincinnati, OH",5 to 17 Years,42575
3364,2013,"Cincinnati, OH",55 to 59 Years,19080
3365,2013,"Cincinnati, OH",Under 5 Years,21730
3366,2018,"Cincinnati, OH",18 to 24 Years,38765
3367,2018,"Cincinnati, OH",75 Years & Over,15966
3368,2018,"Cincinnati, OH",45 to 54 Years,30817
